codigo_ibge,ano_pib,pib_per_capita,populacao,uf,variacao_12m_pct,tercil_renda,tercil_populacao,perfil_formato
500345,2021,35367.246799049295,14317.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
500330,2021,36539.33287626315,33440.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
521150,2021,49835.855678787026,113322.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
500295,2021,100195.29038831654,34606.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
521140,2021,24448.70651204282,7636.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520130,2021,23181.476959254738,18306.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
510345,2021,55014.751714107624,6675.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510343,2021,23509.39813935827,4970.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
521370,2021,62064.94960806271,9024.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
510558,2021,66738.39912931631,11355.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510550,2021,38936.5708018523,17592.0,Mato Grosso,-1.198470469704671,média,alta,Misto / avaliar caso a caso
521805,2021,55915.55667253079,4276.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510562,2021,29698.4538830638,27637.0,Mato Grosso,-1.198470469704671,média,alta,Misto / avaliar caso a caso
510560,2021,75383.44008932244,21959.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
521550,2021,111013.77810007252,7665.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
520915,2021,27880.184331797234,4313.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
522155,2021,104002.01946025334,5171.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
500325,2021,119134.92729306487,28740.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
510810,2021,83161.393246477,2935.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510805,2021,54097.69495906937,10591.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510800,2021,139612.16968011126,15638.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
521405,2021,39836.12334801762,6202.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
520380,2021,34071.367153912295,5798.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
520360,2021,24618.835257082897,4201.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521375,2021,115138.42841765338,13094.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
510370,2021,70373.40876944838,10523.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510360,2021,83255.71905527389,7890.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510337,2021,15658.203407829318,10030.0,Mato Grosso,-1.198470469704671,baixa,média,Atacarejo
510336,2021,34390.82392505405,3908.0,Mato Grosso,-1.198470469704671,média,baixa,Misto / avaliar caso a caso
520970,2021,58989.837127768165,30587.0,Goiás,-0.15625883777098393,alta,alta,Varejo tradicional
510760,2021,72176.3259923293,263708.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
521130,2021,44277.49761482895,6124.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
520940,2021,22652.986056300975,4091.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
520929,2021,27394.225721784776,2170.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
500315,2021,21760.50229788336,14685.0,Mato Grosso do Sul,2.4056746559722564,baixa,média,Atacarejo
500310,2021,23486.521597921404,4892.0,Mato Grosso do Sul,2.4056746559722564,baixa,baixa,Risco (sem escala nem renda)
510757,2021,28101.499139837797,3518.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
521900,2021,28516.644823066843,8085.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520350,2021,47170.85427135678,24925.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
521890,2021,28280.431740955428,20186.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
510385,2021,163130.2919246809,9397.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
521400,2021,63761.21166884369,15199.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
520150,2021,92769.33895921237,4488.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
520145,2021,44500.404203718674,3045.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520980,2021,25436.8115942029,3477.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
510774,2021,118720.74074074074,2904.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510770,2021,31471.204188481675,15041.0,Mato Grosso,-1.198470469704671,média,média,Misto / avaliar caso a caso
500260,2021,44448.26325411334,13928.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
522160,2021,31591.567436208992,44533.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
500290,2021,32286.67905543217,21565.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
500280,2021,27957.259484552585,5096.0,Mato Grosso do Sul,2.4056746559722564,baixa,baixa,Risco (sem escala nem renda)
521810,2021,91096.9742063492,3191.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
510523,2021,39216.77873839257,4662.0,Mato Grosso,-1.198470469704671,média,baixa,Misto / avaliar caso a caso
510380,2021,24509.82116681325,3056.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
521880,2021,65952.47089084725,241494.0,Goiás,-0.15625883777098393,alta,alta,Varejo tradicional
510395,2021,29837.79264214047,2878.0,Mato Grosso,-1.198470469704671,média,baixa,Misto / avaliar caso a caso
510390,2021,84125.91687041565,6319.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510350,2021,257575.00784366456,22623.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
520357,2021,34210.0895392007,3289.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520355,2021,11972.233201581028,11025.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
510450,2021,36912.33071988596,2172.0,Mato Grosso,-1.198470469704671,média,baixa,Misto / avaliar caso a caso
510420,2021,46194.853875476496,10252.0,Mato Grosso,-1.198470469704671,média,média,Misto / avaliar caso a caso
521390,2021,32001.21359223301,4626.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520170,2021,13608.819206271435,18601.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
520160,2021,21307.246376811596,3840.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
510530,2021,20215.127701375244,2616.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
510776,2021,343147.9733481399,3536.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
